station,lat,lon,altitude_m,model_lat,model_lon,model_level,model_pressure_hPa,model_height_m
1310A,36.0658,120.4134,31.64,36.0625,120.4375,22,998.6593627929688,28.583048755500094
1311A,36.1032,120.3664,27.17,36.125,120.375,22,998.0193481445312,29.602764968478024
1312A,36.054,120.2994,8.74,36.0625,120.3125,22,1000.579345703125,8.800554223728287
1313A,36.0858,120.4581,1.46,36.0625,120.4375,22,998.6593627929688,28.583048755500094
1314A,35.9608,120.1983,18.99,35.9375,120.1875,22,1000.579345703125,10.636043407088557
1315A,36.3083,120.3999,11.51,36.3125,120.375,22,999.9393920898438,13.083362318235586
1316A,34.76122,113.69031,96.99,34.75,113.6875,22,986.4993896484375,97.10797826761687
1317A,34.77134,113.65724,106.34,34.75,113.6875,22,986.4993896484375,97.10797826761687
1318A,34.80246,113.67526,91.99,34.8125,113.6875,22,987.139404296875,87.82856072951773
1319A,34.81334,113.56746,108.08,34.8125,113.5625,22,985.2193603515625,105.3676795927381
1320A,34.7178,113.7329,95.28,34.6875,113.75,22,985.859375,102.61444581769769
1321A,34.77172,113.73961,88.81,34.75,113.75,22,987.139404296875,89.25616342768683
1322A,34.74838,113.60532,121.98,34.75,113.625,22,985.2193603515625,107.20316877609837
1323A,34.7525,113.64164,111.03,34.75,113.625,22,985.2193603515625,107.20316877609837
1324A,34.91089,113.51488,113.55,34.9375,113.5,22,984.579345703125,112.60766470488139
1325A,30.5584,114.3677,29.56,30.5625,114.375,22,995.4593505859375,26.95150281473541
1326A,30.558,114.2529,24.48,30.5625,114.25,22,995.4593505859375,27.97121902771334
1327A,30.6189,114.282,32.55,30.625,114.3125,22,995.4593505859375,23.484467690610455
